SalePrice,OverallQual,TotalSF,YearBuilt,GarageCars,Nbr_CollgCr,Nbr_Crawfor,Nbr_Mitchel,Nbr_NoRidge,Nbr_Veenker,Age,TotalSF_log
105000.0,6,2892,1976,1,False,True,False,False,False,49,2892
172000.0,1,3891,1952,3,False,False,False,False,True,73,3891
189900.0,4,3465,2008,3,True,False,False,False,False,17,3465
195500.0,4,3064,2008,1,False,False,True,False,False,17,3064
191500.0,8,2963,1972,0,False,False,True,False,False,53,2963
175900.0,4,1255,1996,0,False,False,False,False,True,29,1255
185000.0,6,2751,1969,0,True,False,False,False,False,56,2751
180400.0,3,3225,2007,1,False,False,True,False,False,18,3225
171500.0,5,2299,1968,1,False,False,False,False,True,57,2299
126000.0,8,1822,1984,2,False,False,False,False,True,41,1822
184000.0,7,2735,1981,0,False,False,False,True,False,44,2735
96000.0,9,3283,1953,0,True,False,False,False,False,72,3283
105500.0,9,810,1950,3,False,False,False,True,False,75,810
149900.0,2,2493,1977,0,False,False,False,False,True,48,2493
120000.0,7,1959,1998,1,False,False,False,True,False,27,1959
376162.0,8,3142,1996,2,False,False,False,True,False,29,3142
290941.0,8,3655,1972,2,False,False,False,False,True,53,3655
275000.0,9,2317,2002,0,False,False,True,False,False,23,2317
259000.0,2,2349,1953,1,False,True,False,False,False,72,2349
500000.0,6,3769,1982,0,False,False,True,False,False,43,3769
320000.0,9,2893,1961,0,True,False,False,False,False,64,2893
205000.0,5,801,1998,2,False,False,True,False,False,27,801
199500.0,4,3939,1974,2,False,False,False,False,True,51,3939
160000.0,1,2124,1978,1,False,False,False,True,False,47,2124
184500.0,4,2471,1990,3,True,False,False,False,False,35,2471
185088.0,6,1839,1959,3,True,False,False,False,False,66,1839
355000.0,1,2464,1952,0,True,False,False,False,False,73,2464
221500.0,3,1678,1964,0,False,False,False,True,False,61,1678
204500.0,4,3177,2009,1,False,False,True,False,False,16,3177
271500.0,9,3487,2002,0,False,False,False,True,False,23,3487
181000.0,2,1133,1960,1,False,True,False,False,False,65,1133
67500.0,4,916,1954,3,True,False,False,False,False,71,916
169000.0,4,2322,1959,1,False,False,False,False,True,66,2322
362500.0,4,2178,1995,1,False,False,False,True,False,30,2178
285000.0,8,3899,1976,2,True,False,False,False,False,49,3899
260000.0,1,596,1993,0,False,False,False,True,False,32,596
190000.0,2,2225,1958,3,False,False,False,True,False,67,2225
155000.0,1,1013,1987,2,False,False,True,False,False,38,1013
149500.0,5,2979,1990,3,False,False,False,True,False,35,2979
152000.0,8,3952,1984,2,False,False,False,False,True,41,3952
177000.0,4,2913,1994,1,False,True,False,False,False,31,2913
147110.0,3,3690,2004,1,False,True,False,False,False,21,3690
267916.0,8,3743,1988,0,False,False,False,True,False,37,3743
254000.0,3,3022,1977,3,False,False,False,True,False,48,3022
230000.0,1,1539,1998,1,False,False,False,True,False,27,1539
218500.0,1,1726,2008,3,False,True,False,False,False,17,1726
243500.0,5,2633,2008,0,False,False,False,True,False,17,2633
212500.0,6,606,1999,0,False,False,True,False,False,26,606
171000.0,6,2130,2003,0,False,False,False,True,False,22,2130
142250.0,7,756,1969,0,False,False,False,False,True,56,756
159000.0,9,2117,1985,0,False,False,False,False,True,40,2117
178900.0,5,3758,1986,3,False,True,False,False,False,39,3758
136300.0,2,3584,1960,1,False,False,False,False,True,65,3584
84900.0,5,1743,1999,2,False,True,False,False,False,26,1743
197600.0,9,3359,1968,0,False,False,False,False,True,57,3359
172500.0,2,1450,1954,2,False,True,False,False,False,71,1450
178000.0,2,2929,1974,0,True,False,False,False,False,51,2929
135000.0,8,931,1965,2,False,False,False,False,True,60,931
214000.0,4,1290,1999,2,False,False,False,True,False,26,1290
136000.0,7,3347,1980,0,False,True,False,False,False,45,3347
108538.0,8,872,1963,1,False,True,False,False,False,62,872
159500.0,3,3606,2001,3,False,False,True,False,False,24,3606
108000.0,1,2518,1966,1,True,False,False,False,False,59,2518
135000.0,4,3896,2005,1,True,False,False,False,False,20,3896
122500.0,6,1330,1990,3,False,False,False,True,False,35,1330
119000.0,5,2720,1995,1,False,True,False,False,False,30,2720
105000.0,5,1221,1961,3,True,False,False,False,False,64,1221
132000.0,7,2788,1984,2,True,False,False,False,False,41,2788
148000.0,5,3939,1967,0,False,False,True,False,False,58,3939
192000.0,5,698,1956,0,False,False,False,True,False,69,698
